BLOCKLOTINDEX,assessment2011,assessment2012
0001C01662004200,50300,97300
0001C01662004300,155300,225700
0001C01662004400,142300,180200
0001C01662004600,81700,149200
0001C01662004700,49500,96700
0001C01662005200,46900,97300
0001C01662005300,172700,225700
0001C01662005400,109200,180200
0001C01662005500,83100,151700
0001C01662005700,49500,96700
0001C01662006100,73300,137000
0001C01662006200,49900,99900
0001C01662006300,177700,232900
0001C01662006400,142600,184000
0001C01662006500,142000,154700
0001C01662006600,81800,151800
0001C01662006700,49600,99300
0001C01662006800,75200,139600
0001C01662007200,55500,99900
0001C01662007300,177700,232800
0001C01662007400,142300,184000
0001C01662007500,65000,154600
0001C01662007700,49600,99300
0001C01662008100,66700,137000
0001C01662008200,50000,99900
0001C01662008300,177800,232800
0001C01662008400,250000,184000
0001C01662008500,75100,154600
0001C01662008700,49700,99300
0001C01662009100,69700,137000
0001C01662009200,50000,99900
0001C01662009300,167900,221600
0001C01662009400,133000,184000
0001C01662009500,115000,154600
0001C01662009600,98000,151800
0001C01662009700,98000,99300
0001C01662009800,95000,139600
0001C01662010200,63200,99900
0001C01662010300,178300,232900
0001C01662010400,190000,184000
0001C01662010500,81500,154700
0001C01662010600,80300,151800
0001C01662010700,52500,99300
0001C01662011100,73100,141800
0001C01662011200,54300,100900
0001C01662011300,160400,235100
0001C01662011400,136800,186300
0001C01662011500,150000,158300
0001C01662011600,81300,155900
0001C01662011700,53900,100300
0001C01662011800,125000,144500
0001C01662012100,95000,141800
0001C01662012200,55200,100900
0001C01662012300,170900,235200
0001C01662012400,136800,186300
0001C01662012500,80100,158300
0001C01662012600,78800,155900
0001C01662012700,54900,100300
0001C01662014100,73700,141800
0001C01662014200,56300,100900
0001C01662014300,350000,235100
0001C01662014400,133700,183700
0001C01662014500,82600,158300
0001C01662014600,190000,155900
0001C01662014700,55900,100300
0001C01662015100,73000,141800
0001C01662015200,56300,100900
0001C01662015300,139300,235100
0001C01662015400,135000,186300
0001C01662015500,82600,158300
0001C01662015600,81200,155900
0001C01662015700,55900,100300
0001C01662015800,74700,144400
0001C01662016100,85100,131400
0001C01662016200,55200,96800
0001C01662016300,177400,258300
0001C01662016400,135400,180500
0001C01662016600,78400,149000
0001C01662016700,54800,96200
0001C01662017200,53400,96800
0001C01662017300,175900,258300
0001C01662017400,116000,180600
0001C01662017700,53000,96100
0001C01662018100,72900,131300
0001C01662018200,53300,96800
0001C01662018300,170300,275900
0001C01662018400,230000,180600
0001C01662018500,137500,151300
0001C01662018600,80200,149100
0001C01662018700,67000,96000
0001C01662019200,90000,96700
0001C01662019300,267500,287800
0001C01662019500,45000,151300
0001C01662019700,51500,96000
0001C01662019800,75700,133700
0001C01662020200,53900,96700
0001C01662020300,267500,288400
0001C01662020400,240000,180600
0001C01662020500,80100,151400
0001C01662020700,53600,96000
0001C01662020800,72900,133800
0001C01662020900,76000,141500
0001C01662021200,54000,96500
0001C01662021300,176800,223200
0001C01662021400,137400,177600
0001C01662021500,83200,153400
0001C01662021600,68000,149600
0001C01662021700,63900,90900
0001C01662021800,76200,112600
0001C01662022200,43500,96500
0001C01662022300,264200,220400
0001C01662022400,275000,177600
0001C01662022500,84700,153400
0001C01662022700,55100,96000
0001C01662022800,78700,137300
0001C01662023300,182300,223200
0001C01662023400,135600,177600
0001C01662023500,86100,153500
0001C01662023600,76000,149600
0001C01662023700,55100,96000
0001C01662024100,76800,134000
0001C01662024200,55700,96500
0001C01662024300,182300,223200
0001C01662024400,175000,177600
0001C01662024500,86100,153400
0001C01662024600,84700,149600
0001C01662024700,55300,96000
0001C01662024800,78800,137300
0001C01662025200,56900,96500
0001C01662025300,320000,228200
0001C01662025400,250000,177600
0001C01662025500,118900,153500
0001C01662025600,80000,122300
0001C01662025700,67000,96000
0001C01662025800,98600,137300
0001C01662026300,189000,223200
0001C01662026400,142200,177600
0001C01662026500,88900,153400
0001C01662026700,55900,79800
0001C01662026800,81700,137300
0001C01662041000,60000,144000
0001C01662041100,60000,187800
0001C01662041200,125000,187800
0001C01662041300,76200,140300
0001C01662041400,72900,109900
0001C01662041500,44300,86100
0001C01662051100,137000,187800
0001C01662051200,145100,187800
0001C01662051300,76200,140300
0001C01662051500,44300,86100
0001C01662061000,54800,146000
0001C01662061100,148700,192900
0001C01662061200,148700,192900
0001C01662061300,75300,140900
0001C01662061400,72000,137100
0001C01662061500,53100,101600
0001C01662071100,174000,192900
0001C01662071200,130000,192900
0001C01662071300,74300,140800
0001C01662071400,71700,137100
0001C01662071500,44300,88400
0001C01662081000,54000,116600
0001C01662081100,135000,192900
0001C01662081200,145100,192900
0001C01662081400,65500,137100
0001C01662081500,42500,88400
0001C01662091100,141100,192900
0001C01662091200,141100,192900
0001C01662091500,85000,88400
0001C01662101100,120000,192800
0001C01662101200,138300,192800
0001C01662101300,95800,140700
0001C01662101400,71800,137100
0001C01662111000,78600,150600
0001C01662111100,134100,195100
0001C01662111200,142800,195100
0001C01662111300,75600,147000
0001C01662111400,71700,141900
0001C01662111500,39000,89100
0001C01662121000,176200,353400
0001C01662121200,139600,195100
0001C01662141100,200000,195100
0001C01662141500,50700,89100
0001C01662151000,78600,150600
0001C01662151100,142000,195100
0001C01662151200,146400,210200
0001C01662151300,93500,147000
0001C01662151400,71700,141900
0001C01662151500,50500,89100
0001C01662161000,76100,141400
0001C01662161100,129900,199400
0001C01662161200,141600,156100
0001C01662161300,73600,134700
0001C01662161500,49500,87800
0001C01662171100,143500,199400
0001C01662171200,165000,199400
0001C01662171300,73200,134600
0001C01662171500,49500,87800
0001C01662181000,77600,141400
0001C01662181100,140300,199400
0001C01662181200,140300,199400
0001C01662181500,46200,87800
0001C01662191000,78500,141400
0001C01662191100,143800,199400
0001C01662191400,83500,134300
0001C01662191500,48400,87900
0001C01662201100,446000,421400
0001C01662210500,65000,85300
0001C01662211000,79200,143900
0001C01662211100,143300,185800
0001C01662211200,130000,185800
0001C01662211300,76300,115700
0001C01662211400,66000,134100
0001C01662211500,49300,85300
0001C01662221100,497000,483300
0001C01662221500,145000,211300
0001C01662231000,81900,143900
0001C01662231100,146600,185800
0001C01662231400,135000,134100
0001C01662241000,169000,185800
0001C01662241100,133000,185800
0001C01662241200,135000,185800
0001C01662241400,75500,134100
0001C01662241500,50300,71000
0001C01662251000,80000,185800
0001C01662251100,157200,185800
0001C01662251300,81800,140200
0001C01662261000,164400,185800
0001C01662261100,115000,185800
0001C01662A00400,65000,134300
0001C01662A00500,59700,134300
0001C01662A00700,72900,137000
0001C01662A01000,73100,137000
0001C01662A01700,71600,131300
0001C01662A01900,90000,131300
0001C01662A02000,73800,131300
0001C01662A02100,74300,134000
0001C01662A02200,76800,109500
0001C01662A02300,140000,134000
0001C01662A02500,79700,134000
0001C01662A02600,79800,134000
0001C01662B02300,53000,96500
0001C01662B02600,56300,96500
0001C01662D01900,240000,180700
0001C01662E00400,85700,156700
0001C01662E01600,79600,126300
0001C01662E01700,74000,151300
0001C01662F00500,81000,149200
0001C01662F00700,100000,151800
0001C01662F00800,91000,151800
0001C01662F01700,78000,149300
0001C01662F01900,81100,149300
0001C01662F02000,78700,149300
0001C01662F02200,70000,149600
0001C01662F02600,87500,149600
0001C01662H00400,50000,137600
0001C01662H00500,62000,137600
0001C01662H00700,74100,139600
0001C01662H00800,94000,139600
0001C01662H01000,74900,139600
0001C01662H01200,72900,144400
0001C01662H01400,92000,144400
0001C01662H01600,72800,133700
0001C01662H01700,73300,133700
0001C01662H01800,116000,133700
0001C01662H02300,78800,137300
0001C01662J00500,79100,144000
0001C01662J00700,77200,146000
0001C01662J00900,74400,121200
0001C01662J01000,77800,146000
0001C01662J01400,78600,150600
0001C01662J01700,91300,141500
0001C01662L01400,139800,195100
0001C01662L01900,125000,199400
0001C01662L02300,146600,185800
0001C01662L02500,157200,185800
0001C01662L02600,179000,185800
0001C01662M00800,68600,140900
0001C01662M00900,87500,140900
0001C01662M01200,58000,147000
0001C01662M01400,75800,147000
0001C01662M01800,64000,134600
0001C01662M02300,92000,140200
0001C01662M02400,78900,140200
0001C01662M02600,81800,140200
0001C01662N00500,72900,134400
0001C01662N00900,60000,137100
0001C01662N01200,69500,141900
0001C01662N01400,72400,141900
0001C01662N01600,70000,131400
0001C01662N01700,75000,131400
0001C01662N01800,71700,131400
0001C01662N01900,72300,131400
0001C01662N02000,60000,131400
0001C01662N02500,52000,134100
0001C01662N02600,78400,134100
0001C01662O01000,47400,88400
0001C01662O01200,50000,89100
0001C01662O02300,42000,85300
0001C01662O02500,41000,85300
0001C01662O02600,54300,85300
0001D00173000G00,100000,0
0001D00173002300,1742600,2433100
0001D0017300AH00,800000,54000
0001D00173014A00,12000,54000
0001D00173014B00,12000,54000
0001D00173014C00,12000,54000
0001D00173015A00,12000,54000
0001D00173015B00,12000,54000
0001D00173015C00,12000,54000
0001D00173016A00,12000,54000
0001D00173016B00,12000,54000
0001D00173016C00,12000,54000
0001D00173017A00,12000,54000
0001D00173017B00,12000,54000
0001D00173017C00,12000,54000
0001D00173018A00,12000,54000
0001D00173018B00,12000,54000
0001D00173018C00,12000,54000
0001D00173019A00,12000,54000
0001D00173019B00,12000,54000
0001D00173019C00,12000,54000
0001D00173020A00,12000,54000
0001D00173020B00,12000,54000
0001D00173020C00,12000,54000
0001D00173021A00,12000,54000
0001D00173021B00,12000,54000
0001D00173021C00,665400,900200
0001D00173022A00,12000,54000
0001D00173022B00,12000,54000
0001D00259C50100,251200,289300
0001D00259C50200,2500,54000
0001D00259C50300,382600,501500
0001D00259C50400,390000,501500
0001D00259C50500,2500,54000
0001D00259C50600,2500,54000
0001D00259C50700,3900,54000
0001D00259C50800,307300,366100
0001D00259C50900,255600,302400
0001D00259C51000,361100,488200
0001D00259C51100,2500,372500
0001D00259C51200,3900,54000
0001D00259C51300,4000,54000
0001D00259C51400,3500,54000
0001D00259C51500,2500,54000
0001D00259C51600,2500,54000
0001D00259C51700,2500,54000
0001D00259C51800,2700,54000
0001D00259C51900,370200,475000
0001D00259C52000,301700,362600
0001D00259C52100,357600,475300
0001D00259C60100,2000,54000
0001D00259C60200,307900,391300
0001D00259C60300,3200,54000
0001D00259C60400,3400,54000
0001D00259C60500,2500,54000
0001D00259C60600,2500,54000
0001D00259C60700,33800,574000
0001D00259C60800,2500,54000
0001D00259C60900,2700,54000
0001D00259C61000,391900,534400
0001D00259C61100,308500,389000
0001D00259C61200,3800,54000
0001D00259C61300,2500,54000
0001D00259C61400,2300,54000
0001D00259C61500,373300,509400
0001D00259C61600,307000,389500
0001D00259C61700,2500,54000
0001D00259C61800,2500,54000
0001D00259C61900,2700,54000
0001D00259C62000,365500,504500
0001D00259C62100,2500,54000
0001D00259C62200,355600,488200
0001D00259C70100,1800,54000
0001D00259C70200,307900,391400
0001D00259C70300,3200,54000
0001D00259C70400,379200,509500
0001D00259C70500,2500,54000
0001D00259C70600,2500,54000
0001D00259C70700,418100,594800
0001D00259C70800,310200,392900
0001D00259C70900,2700,54000
0001D00259C71000,391900,534400
0001D00259C71100,308500,398000
0001D00259C71200,425400,605000
0001D00259C71300,2600,54000
0001D00259C71400,2300,54000
0001D00259C71500,3200,54000
0001D00259C71600,2500,54000
0001D00259C71700,2500,54000
0001D00259C71800,2500,54000
0001D00259C71900,2700,54000
0001D00259C72000,368000,501900
0001D00259C72100,300000,382900
0001D00259C72200,344300,492400
0001G00224040100,301100,343400
0001G00224040200,262900,342100
0001G00224040300,328000,470300
0001G00224040400,303500,343800
0001G00224040500,249500,343400
0001G00224040600,16600,35000
0001G00224050100,255800,313600
0001G00224050200,237400,344000
0001G00224050300,316000,465800
0001G00224050400,248900,313600
0001G00224050500,165200,222800
0001G00224050600,303000,415200
0001G00224060100,248400,313100
0001G00224060200,233100,344000
0001G00224060300,316000,465800
0001G00224060400,248900,313600
0001G00224060500,165200,227800
0001G00224060600,303000,415200
0001G00224070100,303500,415500
0001G00224070200,195100,255500
0001G00224070300,316200,467900
0001G00224070400,248900,313700
0001G00224070500,165200,227600
0001G00224070600,303000,415200
0001G00224080100,303500,415400
0001G00224080200,195100,255500
0001G00224080300,316200,467500
0001G00224080400,248900,313800
0001G00224080500,165200,227500
0001G00224080600,303000,415200
0001G00224090100,303500,415500
0001G00224090200,195100,255200
0001G00224090300,316200,468100
0001G00224090400,300000,313600
0001G00224090500,165200,227700
0001G00224090600,303400,415300
0001G00224100100,303500,415600
0001G00224100200,195100,255500
0001G00224100300,316200,468400
0001G00224100400,248900,313700
0001G00224100500,165200,227600
0001G00224100600,303000,415300
0001G00224110100,275400,390400
0001G00224110200,254400,355300
0001G00224110300,347500,497500
0001G00224110400,248900,313600
0001G00224110500,165300,227000
0001G00224110600,268700,342000
0001G00224120100,255800,359500
0001G00224120200,239700,387200
0001G00224120300,278000,394600
0001G00224120400,10200,35000
0001G00224120500,163700,206900
0001G00224120600,263500,313700
0001G00224140100,10600,35000
0001G00224140200,239700,387200
0001G00224140300,282900,343400
0001G00224140400,10200,35000
0001G00224140500,163700,206800
0001G00224140600,260100,312400
0001G00224150100,650000,626000
0001G00224150300,11000,35000
0001G00224150500,475000,472700
0001G00224150600,10800,35000
0001G00224160100,272200,334200
0001G00224160200,197200,275500
0001G00224160300,11000,35000
0001G00224160400,10200,35000
0001G00224160500,575000,509500
0001G00224170100,381800,499000
0001G00224170200,16400,35000
0001G00224170300,13400,35000
0001G00224170400,285700,411000
0001G00224180100,350600,497000
0001G00224180200,338600,470300
0001G00224180300,11200,35000
0001G00224180400,261500,344800
0001G00224190100,1800000,739700
0001G00224190200,20400,35000
0001H00327020100,174300,250500
0001H00327020200,3600,303300
0001H00327020300,3500,294400
0001H00327030100,174300,246700
0001H00327030200,250600,303300
0001H00327030300,3500,288400
0001H00327040100,211300,250500
0001H00327040200,253600,303300
0001H00327040300,3500,294400
0001H00327050100,211300,248000
0001H00327050200,3600,303300
0001H00327050300,3500,292400
0001H00327060100,211300,250500
0001H00327060200,3600,303300
0001H00327060300,242800,294400
0001H00327070100,2800,250200
0001H00327070200,270000,303300
0001H00327070300,242800,294400
0001H00327070400,3000,255800
0001H00327080100,2800,250500
0001H00327080200,250600,318900
0001H00327080300,242800,290400
0001H00327090100,211300,252600
0001H00327090200,3600,318800
0001H00327090300,3500,292400
0001H00327090400,3000,255800
0001H00327100100,2800,252900
0001H00327100200,250600,318800
0001H00327100300,3500,294400
0001H00327110100,211300,250500
0001H00327110200,250600,300300
0001H00327110300,3500,302900
0001H00327110400,3000,282400
0001H00327120100,2800,269300
0001H00327120200,3600,303300
0001H00327120300,3500,302900
0001H00327140100,211300,269300
0001H00327140200,3600,303300
0001H00327140300,3500,302900
0001H00327140400,3000,282300
0001H00327150100,2800,269200
0001H00327150200,250600,299400
0001H00327150300,3500,302900
0001H00327160100,211300,261300
0001H00327160200,310500,309300
0001H00327160300,3500,295700
0001H00327160400,3000,278700
0001H00327170100,5100,407100
0001H00327170200,5000,400700
0001H00327180100,5100,407100
0001H00327180200,5000,400700
0001H00327180300,3000,278700
0001H00327190100,5100,407100
0001H00327190200,5000,400700
0001H00327200100,5100,407100
0001H00327200200,5000,400700
0001H00327200300,235500,278700
0001H00327210100,333600,412100
0001H00327210200,5000,399800
0001H00327220100,15000,856400
0001H00327COMM00,13300,14100
0001J00005000000,60000,71300
0001J00006000000,2300,21300
0001J00008000000,50000,84400
0001J00009000000,45000,70800
0001J00010000000,153900,161800
0001J00011000000,140000,207800
0001J00013000000,56000,111600
0001J00021000000,87100,78000
0001J00022000000,79600,121200
0001J00022000100,1200,500
0001J00024000000,100400,155200
0001J00026000000,70000,164300
0001J00027000000,79100,120000
0001J00028000000,113000,117100
0001J00029000000,139800,190700
0001J00031000000,133500,192800
0001J00035000000,524000,407400
0001J00035000100,495100,526500
0001J00039000000,792300,810600
0001J00041000000,708400,806000
0001J00043000000,636600,807500
0001J00045000000,634500,804800
0001J00047000000,804900,812000
0001J00048000000,704800,805300
0001J00049000000,629100,796700
0001J00051000000,598700,798800
0001J00052000000,839700,806500
0001J00054000000,475000,374200
0001J00056000000,430500,1141600
0001J00057000000,118400,73400
0001J00062001100,360000,456400
0001J00062001200,395000,456400
0001J00062002100,433800,524900
0001J00062002200,418000,516100
0001J00062002300,418000,516100
0001J00062002400,433800,524900
0001J00062003100,409000,524900
0001J00062003200,614000,712700
0001J00062003300,605700,712700
0001J00064000000,359600,322700
0001J00065000000,540000,580100
0001J00066000000,309800,403300
0001J00068000000,302700,320800
0001J00070000000,491700,510700
0001J00071000000,268500,327600
0001J00073000000,350000,770000
0001J00074000000,725000,786500
0001J00075000000,760000,771600
0001J00077000000,168800,90300
0001N00001000000,65300,67100
0001N00002000000,67700,77400
0001N00003000000,71800,68500
0001N00004000000,73900,77800
0001N00006000000,82000,82900
0001N00007000000,14800,24800
0001N00008000000,60000,68700
0001N00009000000,70000,96400
0001N00010000000,50000,86300
0001N00011000000,66200,90000
0001N00012000000,66200,90200
0001N00015000000,69000,112600
0001N00017000000,87400,105500
0001N00019000000,159900,88400
0001N00020000000,800,3100
0001N00021000000,47900,69700
0001N00022000000,2500,900
0001N00023000000,139300,137200
0001N00026000000,102100,99000
0001N00029000000,86400,76900
0001N00033000000,107800,110800
0001N00035000000,86400,119300
0001N00037000000,102400,128500
0001N00039000000,43500,62800
0001N00040000000,98000,100700
0001N00041000000,92000,65500
0001N00042000000,31900,71900
0001N00043000000,83100,139600
0001N00045000000,77500,101500
0001N00047000000,77500,111000
0001N00049000000,92700,100900
0001N00050000000,78700,75600
0001N00051000000,69600,63200
0001N00052000000,12000,55700
0001N00053000000,39000,67000
0001N00057000000,113300,121900
0001N00059000000,80000,108700
0001N00060000000,85000,99600
0001N00061000000,86200,93800
0001N00063000000,120000,135700
0001N00064000000,50000,89300
0001N00065000000,107900,105000
0001N00066000000,84000,67100
0001N00067000000,65500,70800
0001N00068000000,236100,288200
0001N00070000000,246000,287100
0001N00071000000,132300,133000
0001N00073000000,80300,94200
0001N00076000000,32600,49400
0001N00077000000,60000,91900
0001N00079000000,48000,123300
0001N00080000000,78100,79100
0001N00081000000,75100,79100
0001N00083000000,123300,131000
0001N00086000000,138000,155900
0001N00087000000,109800,94900
0001N00088000000,85000,111700
0001N00089000000,111200,199500
0001N00090000000,90000,98000
0001N00092000000,95000,124700
0001N00093000000,70600,85200
0001N00094000000,50500,35600
0001N00095000000,50600,91800
0001N00096000000,50700,51000
0001N00097000000,60000,78500
0001N00098000000,128900,227900
0001N00100000000,57200,78000
0001N00102000000,55200,61400
0001N00103000000,96600,129200
0001N00105000000,91400,128200
0001N00107000000,63200,73100
0001N00109000000,62500,86700
0001N00111000000,68400,79300
0001N00112000100,53900,89400
0001N00112000200,134200,92100
0001N00112000300,83600,85900
0001N00112000400,84900,88100
0001N00115000000,113700,118600
0001N00117000000,85600,111400
0001N00149000100,1700,6800
0001N00150000000,76100,78700
0001N00151000000,53000,82100
0001N00152000000,56800,59100
0001N00154000000,84200,90100
0001N00155000000,70300,73800
0001N00157000000,74600,73600
0001N00160000000,94000,123000
0001N00163000000,63400,86300
0001N00164000000,73800,103700
0001N00165000000,57000,67600
0001N00166000000,45500,70200
0001N00169000000,64900,64300
0001N00170000000,51000,66600
0001N00171000000,67400,65200
0001N00172000000,51200,72000
0001N00173000000,78600,80100
0001N00175000000,28900,68900
0001N00176000000,53900,59600
0001N00177000000,51100,67100
0001N00178000000,47400,65200
0001N00180000000,28500,75700
0001N00182000000,1700,3900
0001N00182000A00,1600,3400
0001N00183000000,1600,3400
0001N00184000000,31700,56500
0001N00185000000,42800,57000
0001N00186000000,15000,45300
0001N00187000000,41900,45300
0001N00188000000,40200,69700
0001N00190000000,143500,148100
0001N00193000000,1900,5600
0001N00194000000,1900,5800
0001N00197000000,109800,111600
0001N00198000000,168800,208200
0001N00204000000,117800,151500
0001N00206000000,92800,152200
0001N00207000000,18700,90700
0001N00209000000,574400,762200
0001N00221000000,60000,158200
0001N00222000000,67000,69100
0001N00224000000,73300,87700
0001N00225000000,99100,106000
0001N00226000000,57600,71300
0001N00227000000,74200,83300
0001N00229000000,73900,110500
0001N00231000000,112500,136500
0001N00232000000,117100,135700
0001N00233000000,50000,83200
0001N00234000000,74800,78400
0001N00235000000,89900,76000
0001N00236000000,37800,75100
0001N00237000000,62100,69100
0001N00239000000,53500,71500
0001N00240000000,25000,73800
0001N00241000000,36500,68800
0001N00242000000,55400,92000
0001N00243000000,55100,81900
0001N00244000000,62000,88500
0001N00245000000,64300,76100
0001N00247000000,137800,126000
0001N00248000000,30000,90400
0001N00249000000,30000,84600
0001N00250000000,78400,82300
0001N00252000000,145000,146900
0001N00254000000,65600,83400
0001N00255000000,83000,100100
0001N00257000000,98500,103100
0001N00258000000,50000,154100
0001N00260000000,69400,100500
0001N00261000000,99000,85900
0001N00262000000,91700,110300
0001N00264000000,87000,117500
0001N00266000000,116400,125000
0001N00268000000,100400,112600
0001N00270000000,102700,134200
0001N00271000000,83400,158600
0001N00272000000,381100,361500
0001N00275000000,165000,247900
0001N00277000000,323800,331200
0001N00279000000,324000,368900
0001N00281000000,51600,0
0001N00281000A00,250,512800
0001N00281000B00,250,512800
0001N00281001A00,8000,386900
0001N00281001B00,8000,434300
0001N00281002A00,8000,396900
0001N00281002B00,8000,443900
0001N00281003A00,8000,402100
0001N00281003B00,8000,449800
0001N00281004A00,8000,417800
0001N00281004B00,8000,467500
0001N00281005A00,8000,409200
0001N00281005B00,8000,467500
0001N00281006A00,8000,516800
0001N00291000000,383800,390600
0001N00299000000,87200,118100
0001N00300000000,67100,62500
0001N00301000000,77800,154500
0001N00302000000,96000,103400
0001N00303000000,86000,98500
0001N00305000000,99100,113300
0001N00306000000,63000,107800
0001N00307000000,57400,60400
0001N00308000000,2000,900
0001N00309000000,1900,800
0001N00310000000,30000,76200
0001N00311000000,28300,73400
0001N00312000000,71000,73000
0001N00313000000,50000,69700
0001N00315000000,102300,136200
0001N00316000000,82400,79300
0001N00317000000,35000,115600
0001N00319000000,63800,87600
0001N00321000000,85500,87100
0001N00322000000,110000,128500
0001N00322000100,115300,126500
0001N00323000000,60800,109200
0001N00324000000,120000,108800
0001P00005000000,77000,89100
0001P00006000000,65500,94800
0001P00025000000,111400,141600
0001P00026000000,58000,94300
0001P00027000000,62100,73200
0001P00028000000,18600,26300
0001P00029000000,287300,313600
0001P00031000000,16900,37800
0001P00032000000,17000,38300
0001P00036000000,400000,68600
0001P00040000000,163300,359800
0001P00040000100,55000,101900
0001P00040010200,90000,108300
0001P00040010300,112100,115500
0001P00040010400,102800,113000
0001P00042000000,73400,103400
0001P00043000000,434500,1226500
0001P00054000000,72500,108500
0002A0001200R200,80000,15000
0002A0001200R300,80000,15000
0002A0001200R400,80000,15000
0002A0001200R500,80000,15000
0002A0001200R600,80000,15000
0002A0001200R700,155000,15000
0002D00004000000,58000,114700
0002D00005000002,74500,139600
0002D00017000000,99600,133500
0002D00019000000,93900,103400
0002D00024000000,158700,135800
0002D00026000000,111900,131600
0002D00028000000,90000,139000
0002D00030000000,70000,150100
0002D00032000000,85000,145800
0002D00034000000,105600,140900
0002D00036000000,71100,134600
0002D00038000000,87100,139900
0002D00040000000,107500,137900
0002D00042000000,91000,141300
0002D00044000000,126600,150500
0002D00046000000,111600,153600
0002D00048000000,125900,127000
0002D00050000000,102000,132100
0002D00053000000,127200,138000
0002D00077000000,121200,153500
0002D00079000000,144200,142200
0002D00081000000,119800,119800
0002D00083000000,188300,183700
0002D00085000000,113700,129100
0002D00087000000,126300,167700
0002D00089000000,115000,142000
0002D00091000000,151800,160500
0002D00093000000,122800,136800
0002D00095000000,157000,170500
0002D00097000000,56000,154600
0002D00099000000,175000,190900
0002D00312000000,47200,91400
0002D00412000000,71400,125500
0002F00175002100,56100,125600
0002F00175002200,25000,66700
0002F00175002300,42200,104500
0002F00175002400,44000,103400
0002F00175002500,36500,75500
0002F00175002600,36500,75500
0002F00175002700,30000,105200
0002F00175002800,31900,104600
0002F00175003100,56100,133800
0002F00175003200,32400,68200
0002F00175003300,42200,108900
0002F00175003400,41800,108100
0002F00175003500,29000,77400
0002F00175003600,33000,77400
0002F00175003700,42400,109500
0002F00175003800,42200,109000
0002F00175003900,32400,68200
0002F00175004100,57800,137000
0002F00175004200,28500,68700
0002F00175004300,43300,110700
0002F00175004400,42900,110000
0002F00175004500,36900,78300
0002F00175004600,36900,78300
0002F00175004700,43500,111400
0002F00175004800,43300,110800
0002F00175004900,31900,68700
0002F00175005100,80000,137000
0002F00175005200,31900,68700
0002F00175005300,45200,110700
0002F00175005400,44800,110000
0002F00175005500,36900,78300
0002F00175005600,36900,78300
0002F00175005700,45400,111400
0002F00175005800,45200,110800
0002F00175006100,58500,138800
0002F00175006200,28500,70000
0002F00175006300,44400,114300
0002F00175006400,44000,113500
0002F00175006500,36600,80300
0002F00175006600,36600,80300
0002F00175006700,44600,115000
0002F00175006800,44400,114400
0002F00175007100,61200,138800
0002F00175007200,31300,70000
0002F00175007300,46800,114300
0002F00175007400,48600,113500
0002F00175007500,36600,80300
0002F00175007600,39500,80300
0002F00175007700,47000,115000
0002F00175007800,46800,114400
0002F00175008100,61200,138800
0002F00175008200,40800,70000
0002F00175008300,54000,114300
0002F00175008400,43200,113500
0002F00175008500,34800,80300
0002F00175008600,35700,80300
0002F00175008700,47000,115000
0002F00175008800,46900,114400
0002F00175009100,61200,138800
0002F00175009200,31500,70000
0002F00175009300,46800,114300
0002F00175009400,62000,113500
0002F00175009500,34700,80300
0002F00175009600,34700,80300
0002F00175009700,47000,115000
0002F00175009800,37900,114400
0002F00175010100,69000,138800
0002F00175010200,28900,70000
0002F00175010300,48500,114300
0002F00175010400,46800,113500
0002F00175010500,33900,80300
0002F00175010600,33900,80300
0002F00175010700,68900,115000
0002F00175010800,48600,114400
0002F00175011100,196900,269500
0002F00175011300,48500,115500
0002F00175011400,48100,114700
0002F00175011500,34300,81500
0002F00175011600,34300,81500
0002F00175011700,48700,116100
0002F00175011800,48500,115600
0002F00175012100,62500,142900
0002F00175012200,30300,71400
0002F00175012300,48400,115500
0002F00175012400,48000,114700
0002F00175012500,34000,81500
0002F00175012600,34000,81500
0002F00175012700,48600,116100
0002F00175012800,48400,115600
0002F00175014100,60900,142900
